objectid,format,filename,DISCIPLINE,CO_LOC_RES,NTEEC,NAICS,title,LEGALNAME,ALTNAME,AKADBA,WEBURL,INCOMECD15,INCOME15,REVENUE15,date,INSTNAME,longitude,latitude,GSTREET,GCITY,GSTATE,GZIP,GZIP5,
8404200072,image/jpeg,pma.jpg,Art Museums,,,,OLD CITY JEWISH ARTS CENTER,OLD CITY JEWISH ARTS CENTER,,,WWW.JEWISHARTCENTER.COM/CGI-SYS/SUSPENDEDPAGE.CGI,,,,,,-75.14503,39.95267,119 N 3RD ST,PHILADELPHIA,PA,19106,19106,
8404200167,image/jpeg,pma.jpg,"Zoos, Aquariums, & Wildlife Conservation",,,,INSECTARIUM,INSECTARIUM,,,INSECTARIUMINSTITUTE.COM/,,,,,,-75.02717,40.04221,8046 FRANKFORD AVE,PHILADELPHIA,PA,19136,19136,
8404200194,image/jpeg,pma.jpg,History Museums,ESTATE,C30,813312,GLEN FOERD ON THE DELAWARE,GLEN FOERD CONSERVATION CORP,,,WWW.GLENFOERD.ORG,4,318500,311882,1986,,-74.98141,40.05178,5001 GRANT AVE,PHILADELPHIA,PA,19114-3154,19114,
8404200328,image/jpeg,pma.jpg,"Arboretums, botanical gardens, and nature centers",,C42,813410,HANSBERRY GARDEN & NATURE CENTER,HANSBERRY GARDEN & NATURE CENTER INC,,,HANSBERRYGARDEN.COM,0,0,0,2004,,-75.1695,40.02628,5150 WAYNE AVENUE,PHILADELPHIA,PA,19144,19144,
8404200409,image/jpeg,pma.jpg,"Arboretums, botanical gardens, and nature centers",,C41,712130,AWBURY ARBORETUM,AWBURY ARBORETUM ASSOCIATION INC,,,AWBURY.ORG/,4,367246,367246,1985,,-75.16904,40.04854,1 AWBURY RD,PHILADELPHIA,PA,19138-1505,19138,
8404200453,image/jpeg,pma.jpg,Art Museums,,A51,712110,PHILADELPHIA MUSEUM OF ART,PHILADELPHIA MUSEUM OF ART,,,WWW.PHILAMUSEUM.ORG,9,148647035,82564750,1943,,-75.1794,39.96472,2600 BENJAMIN FRANKLIN PKWY,PHILADELPHIA,PA,19101-7646,19101,
8404200456,image/jpeg,pma.jpg,Science & Technology Museums & Planetariums,PLANETARIUM,A25,712110,FRANKLIN INSTITUTE,FRANKLIN INSTITUTE,INCL: FELS PLANETARIUM,,WWW.FI.EDU/,8,46199859,35616050,1928,,-75.1724,39.95775,222 N 20TH ST,PHILADELPHIA,PA,19103-1115,19103,
8404200563,image/jpeg,pma.jpg,Children's Museums,,A52,712110,PLEASE TOUCH MUSEUM,PLEASE TOUCH MUSEUM,,,WWW.PLEASETOUCHMUSEUM.ORG,8,21807887,9514220,1979,,-75.21214,39.97953,4231 AVE OF THE REPUBLIC,PHILADELPHIA,PA,19131-3719,19131,
8404200571,image/jpeg,pma.jpg,History Museums,,A54,712110,WYCK HOUSE,WYCK ASSOCIATION,,,,5,657624,371206,1980,,-75.17869,40.03972,6026 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2112,19144,
8404200647,image/jpeg,pma.jpg,History Museums,,A54,712110,NATIONAL CONSTITUTION CENTER,NATIONAL CONSTITUTION CENTER,,,CONSTITUTIONCENTER.ORG/,8,24718196,22443988,1987,,-75.14882,39.95271,525 ARCH ST,PHILADELPHIA,PA,19106-1514,19106,
8404200749,image/jpeg,pma.jpg,History Museums,,A54,712110,INSTITUTE FOR BIBLICAL AND SCIENTIFIC STUDIES,THE INSTITUTE FOR BIBLICAL AND SCIENTIFIC STUDIES,,,,3,45138,22057,1995,,-75.12335,39.97821,2424 E HAGERT ST,PHILADELPHIA,PA,19125-3031,19125,
8404200963,image/jpeg,pma.jpg,History Museums,,A54,712110,ATWATER KENT MUSEUM,ATWATER KENT MUSEUM,,,WWW.PHILADELPHIAHISTORY.ORG,0,,,1982,,-75.15203,39.95035,15 S 7TH ST,PHILADELPHIA,PA,19106-2313,19106,
